State FIPS Code,State,State Abbreviation,City/County,Year,Annual Minimum,Annual Average,Annual Maximum,Local > State min wage
35,New Mexico,NM,Albuquerque,2004,5.15,5.15,5.15,0
35,New Mexico,NM,Albuquerque,2005,5.15,5.15,5.15,0
35,New Mexico,NM,Albuquerque,2006,5.15,5.15,5.15,0
35,New Mexico,NM,Albuquerque,2007,6.75,6.75,6.75,1
35,New Mexico,NM,Albuquerque,2008,7.15,7.15,7.15,1
35,New Mexico,NM,Albuquerque,2009,7.5,7.5,7.5,0
35,New Mexico,NM,Albuquerque,2010,7.5,7.5,7.5,0
35,New Mexico,NM,Albuquerque,2011,7.5,7.5,7.5,0
35,New Mexico,NM,Albuquerque,2012,7.5,7.5,7.5,0
35,New Mexico,NM,Albuquerque,2013,8.5,8.5,8.5,1
35,New Mexico,NM,Albuquerque,2014,8.6,8.6,8.6,1
35,New Mexico,NM,Albuquerque,2015,8.75,8.75,8.75,1
35,New Mexico,NM,Albuquerque,2016,8.75,8.75,8.75,1
23,Maine,ME,Bangor,2004,6.25,6.275136612,6.35,1
23,Maine,ME,Bangor,2005,6.35,6.387808219,6.5,1
23,Maine,ME,Bangor,2006,6.5,6.563013699,6.75,0
23,Maine,ME,Bangor,2007,6.75,6.813013699,7,0
23,Maine,ME,Bangor,2008,7,7.06284153,7.25,0
23,Maine,ME,Bangor,2009,7.25,7.313013699,7.5,0
23,Maine,ME,Bangor,2010,7.5,7.5,7.5,0
23,Maine,ME,Bangor,2011,7.5,7.5,7.5,0
23,Maine,ME,Bangor,2012,7.5,7.5,7.5,0
23,Maine,ME,Bangor,2013,7.5,7.5,7.5,0
23,Maine,ME,Bangor,2014,7.5,7.5,7.5,0
23,Maine,ME,Bangor,2015,7.5,7.5,7.5,0
23,Maine,ME,Bangor,2016,7.5,7.5,7.5,0
6,California,CA,Berkeley,2004,6.75,6.75,6.75,0
6,California,CA,Berkeley,2005,6.75,6.75,6.75,0
6,California,CA,Berkeley,2006,6.75,6.75,6.75,0
6,California,CA,Berkeley,2007,7.5,7.5,7.5,0
6,California,CA,Berkeley,2008,8,8,8,0
6,California,CA,Berkeley,2009,8,8,8,0
6,California,CA,Berkeley,2010,8,8,8,0
6,California,CA,Berkeley,2011,8,8,8,0
6,California,CA,Berkeley,2012,8,8,8,0
6,California,CA,Berkeley,2013,8,8,8,0
6,California,CA,Berkeley,2014,8,8.756164384,10,1
6,California,CA,Berkeley,2015,10,10.25205479,11,1
6,California,CA,Berkeley,2016,10,10.99453552,11,1
35,New Mexico,NM,Bernalillo County,2004,5.15,5.15,5.15,0
35,New Mexico,NM,Bernalillo County,2005,5.15,5.15,5.15,0
35,New Mexico,NM,Bernalillo County,2006,5.15,5.15,5.15,0
35,New Mexico,NM,Bernalillo County,2007,5.15,5.458767123,5.85,1
35,New Mexico,NM,Bernalillo County,2008,6.5,6.521994536,6.55,0
35,New Mexico,NM,Bernalillo County,2009,7.5,7.5,7.5,0
35,New Mexico,NM,Bernalillo County,2010,7.5,7.5,7.5,0
35,New Mexico,NM,Bernalillo County,2011,7.5,7.5,7.5,0
35,New Mexico,NM,Bernalillo County,2012,7.5,7.5,7.5,0
35,New Mexico,NM,Bernalillo County,2013,7.5,7.752054795,8,1
35,New Mexico,NM,Bernalillo County,2014,8.5,8.5,8.5,1
35,New Mexico,NM,Bernalillo County,2015,8.5,8.639726027,8.65,1
35,New Mexico,NM,Bernalillo County,2016,8.65,8.65,8.65,1
17,Illinois,IL,Chicago,2004,5.5,5.5,5.5,0
17,Illinois,IL,Chicago,2005,6.5,6.5,6.5,0
17,Illinois,IL,Chicago,2006,6.5,6.5,6.5,0
17,Illinois,IL,Chicago,2007,6.5,7.004109589,7.5,0
17,Illinois,IL,Chicago,2008,7.5,7.62568306,7.75,0
17,Illinois,IL,Chicago,2009,7.75,7.876027397,8,0
17,Illinois,IL,Chicago,2010,8,8.126027397,8.25,0
17,Illinois,IL,Chicago,2011,8.25,8.25,8.25,0
17,Illinois,IL,Chicago,2012,8.25,8.25,8.25,0
17,Illinois,IL,Chicago,2013,8.25,8.25,8.25,0
17,Illinois,IL,Chicago,2014,8.25,8.25,8.25,0
17,Illinois,IL,Chicago,2015,8.25,8.25,8.25,0
17,Illinois,IL,Chicago,2016,8.25,8.259562842,10,1
6,California,CA,El Cerrito,2004,6.75,6.75,6.75,0
6,California,CA,El Cerrito,2005,6.75,6.75,6.75,0
6,California,CA,El Cerrito,2006,6.75,6.75,6.75,0
6,California,CA,El Cerrito,2007,7.5,7.5,7.5,0
6,California,CA,El Cerrito,2008,8,8,8,0
6,California,CA,El Cerrito,2009,8,8,8,0
6,California,CA,El Cerrito,2010,8,8,8,0
6,California,CA,El Cerrito,2011,8,8,8,0
6,California,CA,El Cerrito,2012,8,8,8,0
6,California,CA,El Cerrito,2013,8,8,8,0
6,California,CA,El Cerrito,2014,8,8.504109589,9,0
6,California,CA,El Cerrito,2015,9,9,9,0
6,California,CA,El Cerrito,2016,10,10.00874317,11.6,1
6,California,CA,Emeryville,2004,6.75,6.75,6.75,0
6,California,CA,Emeryville,2005,6.75,6.75,6.75,0
6,California,CA,Emeryville,2006,6.75,6.75,6.75,0
6,California,CA,Emeryville,2007,7.5,7.5,7.5,0
6,California,CA,Emeryville,2008,8,8,8,0
6,California,CA,Emeryville,2009,8,8,8,0
6,California,CA,Emeryville,2010,8,8,8,0
6,California,CA,Emeryville,2011,8,8,8,0
6,California,CA,Emeryville,2012,8,8,8,0
6,California,CA,Emeryville,2013,8,8,8,0
6,California,CA,Emeryville,2014,8,8.504109589,9,0
6,California,CA,Emeryville,2015,9,11.72745205,14.44,1
6,California,CA,Emeryville,2016,14.44,14.4420765,14.82,1
19,Iowa,IA,Johnson County,2004,5.15,5.15,5.15,0
19,Iowa,IA,Johnson County,2005,5.15,5.15,5.15,0
19,Iowa,IA,Johnson County,2006,5.15,5.15,5.15,0
19,Iowa,IA,Johnson County,2007,5.15,5.94109589,6.2,1
19,Iowa,IA,Johnson County,2008,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2009,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2010,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2011,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2012,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2013,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2014,7.25,7.25,7.25,0
19,Iowa,IA,Johnson County,2015,7.25,7.408767123,8.2,1
19,Iowa,IA,Johnson County,2016,8.2,8.521857923,9.15,1
35,New Mexico,NM,Las Cruces,2004,5.15,5.15,5.15,0
35,New Mexico,NM,Las Cruces,2005,5.15,5.15,5.15,0
35,New Mexico,NM,Las Cruces,2006,5.15,5.15,5.15,0
35,New Mexico,NM,Las Cruces,2007,5.15,5.458767123,5.85,1
35,New Mexico,NM,Las Cruces,2008,6.5,6.521994536,6.55,0
35,New Mexico,NM,Las Cruces,2009,7.5,7.5,7.5,0
35,New Mexico,NM,Las Cruces,2010,7.5,7.5,7.5,0
35,New Mexico,NM,Las Cruces,2011,7.5,7.5,7.5,0
35,New Mexico,NM,Las Cruces,2012,7.5,7.5,7.5,0
35,New Mexico,NM,Las Cruces,2013,7.5,7.5,7.5,0
35,New Mexico,NM,Las Cruces,2014,7.5,7.5,7.5,0
35,New Mexico,NM,Las Cruces,2015,8.4,8.4,8.4,1
35,New Mexico,NM,Las Cruces,2016,8.4,8.4,8.4,1
21,Kentucky,KY,Lexington,2004,5.15,5.15,5.15,0
21,Kentucky,KY,Lexington,2005,5.15,5.15,5.15,0
21,Kentucky,KY,Lexington,2006,5.15,5.15,5.15,0
21,Kentucky,KY,Lexington,2007,5.15,5.512465753,5.85,1
21,Kentucky,KY,Lexington,2008,5.85,6.201912568,6.55,1
21,Kentucky,KY,Lexington,2009,6.55,6.902876712,7.25,0
21,Kentucky,KY,Lexington,2010,7.25,7.25,7.25,0
21,Kentucky,KY,Lexington,2011,7.25,7.25,7.25,0
21,Kentucky,KY,Lexington,2012,7.25,7.25,7.25,0
21,Kentucky,KY,Lexington,2013,7.25,7.25,7.25,0
21,Kentucky,KY,Lexington,2014,7.25,7.25,7.25,0
21,Kentucky,KY,Lexington,2015,7.25,7.25,7.25,0
21,Kentucky,KY,Lexington,2016,7.25,7.255191257,8.2,1
6,California,CA,Long Beach,2004,6.75,6.75,6.75,0
6,California,CA,Long Beach,2005,6.75,6.75,6.75,0
6,California,CA,Long Beach,2006,6.75,6.75,6.75,0
6,California,CA,Long Beach,2007,7.5,7.5,7.5,0
6,California,CA,Long Beach,2008,8,8,8,0
6,California,CA,Long Beach,2009,8,8,8,0
6,California,CA,Long Beach,2010,8,8,8,0
6,California,CA,Long Beach,2011,8,8,8,0
6,California,CA,Long Beach,2012,8,8,8,0
6,California,CA,Long Beach,2013,8,8,8,0
6,California,CA,Long Beach,2014,8,8.504109589,9,0
6,California,CA,Long Beach,2015,9,9,9,0
6,California,CA,Long Beach,2016,10,10,10,0
6,California,CA,Los Angeles,2004,6.75,6.75,6.75,0
6,California,CA,Los Angeles,2005,6.75,6.75,6.75,0
6,California,CA,Los Angeles,2006,6.75,6.75,6.75,0
6,California,CA,Los Angeles,2007,7.5,7.5,7.5,0
6,California,CA,Los Angeles,2008,8,8,8,0
6,California,CA,Los Angeles,2009,8,8,8,0
6,California,CA,Los Angeles,2010,8,8,8,0
6,California,CA,Los Angeles,2011,8,8,8,0
6,California,CA,Los Angeles,2012,8,8,8,0
6,California,CA,Los Angeles,2013,8,8,8,0
6,California,CA,Los Angeles,2014,8,8.504109589,9,0
6,California,CA,Los Angeles,2015,9,9,9,0
6,California,CA,Los Angeles,2016,10,10.00273224,10.5,1
6,California,CA,Los Angeles County,2004,6.75,6.75,6.75,0
6,California,CA,Los Angeles County,2005,6.75,6.75,6.75,0
6,California,CA,Los Angeles County,2006,6.75,6.75,6.75,0
6,California,CA,Los Angeles County,2007,7.5,7.5,7.5,0
6,California,CA,Los Angeles County,2008,8,8,8,0
6,California,CA,Los Angeles County,2009,8,8,8,0
6,California,CA,Los Angeles County,2010,8,8,8,0
6,California,CA,Los Angeles County,2011,8,8,8,0
6,California,CA,Los Angeles County,2012,8,8,8,0
6,California,CA,Los Angeles County,2013,8,8,8,0
6,California,CA,Los Angeles County,2014,8,8.504109589,9,0
6,California,CA,Los Angeles County,2015,9,9,9,0
6,California,CA,Los Angeles County,2016,10,10.00273224,10.5,1
21,Kentucky,KY,Louisville,2004,5.15,5.15,5.15,0
21,Kentucky,KY,Louisville,2005,5.15,5.15,5.15,0
21,Kentucky,KY,Louisville,2006,5.15,5.15,5.15,0
21,Kentucky,KY,Louisville,2007,5.15,5.512465753,5.85,1
21,Kentucky,KY,Louisville,2008,5.85,6.201912568,6.55,1
21,Kentucky,KY,Louisville,2009,6.55,6.902876712,7.25,0
21,Kentucky,KY,Louisville,2010,7.25,7.25,7.25,0
21,Kentucky,KY,Louisville,2011,7.25,7.25,7.25,0
21,Kentucky,KY,Louisville,2012,7.25,7.25,7.25,0
21,Kentucky,KY,Louisville,2013,7.25,7.25,7.25,0
21,Kentucky,KY,Louisville,2014,7.25,7.25,7.25,0
21,Kentucky,KY,Louisville,2015,7.25,7.678493151,8.1,1
21,Kentucky,KY,Louisville,2016,8.1,8.105737705,9.15,1
24,Maryland,MD,Montgomery County,2004,5.15,5.15,5.15,0
24,Maryland,MD,Montgomery County,2005,5.15,5.15,5.15,0
24,Maryland,MD,Montgomery County,2006,5.15,5.15,5.15,0
24,Maryland,MD,Montgomery County,2007,6.15,6.15,6.15,0
24,Maryland,MD,Montgomery County,2008,6.15,6.325956284,6.55,0
24,Maryland,MD,Montgomery County,2009,6.55,6.858767123,7.25,0
24,Maryland,MD,Montgomery County,2010,7.25,7.25,7.25,0
24,Maryland,MD,Montgomery County,2011,7.25,7.25,7.25,0
24,Maryland,MD,Montgomery County,2012,7.25,7.25,7.25,0
24,Maryland,MD,Montgomery County,2013,7.25,7.25,7.25,0
24,Maryland,MD,Montgomery County,2014,7.25,7.539863014,8.4,1
24,Maryland,MD,Montgomery County,2015,8.4,8.689863014,9.55,1
24,Maryland,MD,Montgomery County,2016,9.55,9.55,9.55,1
6,California,CA,Mountain View,2004,6.75,6.75,6.75,0
6,California,CA,Mountain View,2005,6.75,6.75,6.75,0
6,California,CA,Mountain View,2006,6.75,6.75,6.75,0
6,California,CA,Mountain View,2007,7.5,7.5,7.5,0
6,California,CA,Mountain View,2008,8,8,8,0
6,California,CA,Mountain View,2009,8,8,8,0
6,California,CA,Mountain View,2010,8,8,8,0
6,California,CA,Mountain View,2011,8,8,8,0
6,California,CA,Mountain View,2012,8,8,8,0
6,California,CA,Mountain View,2013,8,8,8,0
6,California,CA,Mountain View,2014,8,8.504109589,9,0
6,California,CA,Mountain View,2015,9,9.655342466,10.3,1
6,California,CA,Mountain View,2016,11,11,11,1
6,California,CA,Oakland,2004,6.75,6.75,6.75,0
6,California,CA,Oakland,2005,6.75,6.75,6.75,0
6,California,CA,Oakland,2006,6.75,6.75,6.75,0
6,California,CA,Oakland,2007,7.5,7.5,7.5,0
6,California,CA,Oakland,2008,8,8,8,0
6,California,CA,Oakland,2009,8,8,8,0
6,California,CA,Oakland,2010,8,8,8,0
6,California,CA,Oakland,2011,8,8,8,0
6,California,CA,Oakland,2012,8,8,8,0
6,California,CA,Oakland,2013,8,8,8,0
6,California,CA,Oakland,2014,8,8.504109589,9,0
6,California,CA,Oakland,2015,9,11.71575342,12.25,1
